full_name,short_Name,team_id,,,toss_decision,toss_id
Chennai Super Kings,CSK,1,,,field,0
 Deccan Chargers,DC,2,,,bat,1
 Delhi Daredevils,DD,3,,,,
 Gujarat Lions,GL,4,,,,
 Kings XI Punjab,KXIP,5,,,,
 Kochi Tuskers Kerala,KTK,6,,,,
 Kolkata Knight Riders,KKR,7,,,,
 Mumbai Indians,MI,8,,,,
 Pune Warriors,PW,9,,,,
 Rajasthan Royals,RR,10,,,,
 Rising Pune Supergiants,RPS,11,,,,
 Royal Challengers Bangalore,RCB,12,,,,
 Sunrisers Hyderabad,SH,13,,,,
,,,,,,
,,,,,,
,,,,,,
City,city_id,,,,,
Abu Dhabi,1,,,,,
 Ahmedabad,2,,,,,
 Bangalore,3,,,,,
 Bengaluru,4,,,,,
 Bloemfontein,5,,,,,
 Cape Town,6,,,,,
 Centurion,7,,,,,
 Chandigarh,8,,,,,
 Chennai,9,,,,,
 Cuttack,10,,,,,
 Delhi,11,,,,,
 Dharamsala,12,,,,,
 Dubai,13,,,,,
 Durban,14,,,,,
 East London,15,,,,,
 Hyderabad,16,,,,,
 Indore,17,,,,,
 Jaipur,18,,,,,
 Johannesburg,19,,,,,
 Kanpur,20,,,,,
 Kimberley,21,,,,,
 Kochi,22,,,,,
 Kolkata,23,,,,,
 Mohali,24,,,,,
 Mumbai,25,,,,,
 Nagpur,26,,,,,
 Port Elizabeth,27,,,,,
 Pune,28,,,,,
 Raipur,29,,,,,
 Rajkot,30,,,,,
 Ranchi,31,,,,,
 Sharjah,32,,,,,
 Visakhapatnam,33,,,,,
